id	session_id	user_id	when	eventtype_id	dataint	data_id
759786	143	3564	1205354714	23	71	NULL
759787	143	3564	1205354714	23	78	NULL
759788	143	3564	1205354714	23	107	NULL
759789	143	3564	1205354714	23	77	NULL
759795	143	3564	1205354744	8	NULL	NULL
759796	143	3564	1205354749	8	NULL	23
759797	143	3564	1205354763	20	NULL	NULL
759798	143	3564	1205354770	20	NULL	33
759802	143	3564	1205354791	9	2818	NULL
759808	143	3564	1205354815	8	NULL	NULL
759809	143	3564	1205354818	8	NULL	13
759811	143	3564	1205354821	8	NULL	NULL
759814	143	3564	1205354827	8	NULL	23
759815	143	3564	1205354830	9	1055	NULL
759818	143	3564	1205354838	8	NULL	23
759827	143	3564	1205354853	9	2783	NULL
759828	143	3564	1205354853	9	2783	NULL
759839	143	3564	1205354861	8	NULL	23
759842	143	3564	1205354872	9	2407	NULL
759845	143	3564	1205354880	8	NULL	23
759860	143	3564	1205354894	13	0	3
759861	143	3564	1205354894	23	19	NULL
759862	143	3564	1205354894	23	43	NULL
759873	143	3564	1205354916	34	0	652
759886	143	3564	1205354927	34	12	652
759894	143	3564	1205354941	7	1061	NULL
759904	143	3564	1205354951	34	12	652
759906	143	3564	1205354958	34	24	652
759909	143	3564	1205354964	34	36	652
759916	143	3564	1205354970	34	48	652
759921	143	3564	1205354979	34	60	652
759926	143	3564	1205354988	34	72	652
759931	143	3564	1205354993	34	84	652
759933	143	3564	1205355000	34	96	652
759939	143	3564	1205355015	34	108	652
759942	143	3564	1205355021	34	120	652
759947	143	3564	1205355029	34	132	652
759950	143	3564	1205355035	34	144	652
759955	143	3564	1205355042	34	156	652
759957	143	3564	1205355050	7	20994	NULL
759966	143	3564	1205355067	34	156	652
759973	143	3564	1205355070	34	168	652
759984	143	3564	1205355084	34	180	652
759988	143	3564	1205355093	34	192	652
759991	143	3564	1205355104	34	204	652
759994	143	3564	1205355112	34	216	652
760014	143	3564	1205355166	34	228	652
210141	7327	NULL	1200841578	7	4885	NULL
210142	7327	NULL	1200841596	18	NULL	NULL
210143	7327	NULL	1200841607	10	2680	NULL
210144	7327	NULL	1200841631	7	4914	NULL
210145	7327	NULL	1200841648	10	2680	NULL
210146	7327	NULL	1200841651	7	4913	NULL
210147	7327	NULL	1200841671	24	NULL	NULL
210148	7327	NULL	1200841802	5	4201	NULL
210149	7327	4201	1200841802	1	NULL	NULL
210150	7327	4201	1200841803	23	9	NULL
210151	7327	4201	1200841803	23	26	NULL
